Dönemi	Ders Kodu	Ders Adı				        AKTS Kredisi
1	    XXX XXX 	Teknik Olmayan Seçmeli (SSC)		    2
1	    BİL 101		Bilgisayar Mühendisliğine Giriş		    8
1	    BİL 107		Bilgisayar Mühendisliğine Giriş Lab	    2
1	    MAT 101		Calculus I				                7
1	    FİZ 121		Physics I				                6
1	    FİZ 151		Physics Lab I				            1
1	    AİİT 101	Atatürk İlkeleri ve İnkılap I		    2
1	    TÜR 101		Türkçe I				                2

2	    XXX XXX		Teknik Olmayan Seçmeli (SSC)		    2
2	    BİL 102		Computer Programming			        8
2	    BİL 108		Computer Programming Lab		        2
2	    MAT 102		Calculus II				                7
2	    FİZ 122		Physics II				                6
2	    FİZ 152		Physics Lab II				            1
2	    AİİT 102	Atatürk İlkeleri ve İnkılap II		    2
2	    TÜR 102		Türkçe II				                2
